[12:14:58] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[12:16:09] [Worker-Main-8/INFO]: Preparing spawn area: 77%
[12:16:10] [Worker-Main-8/INFO]: Preparing spawn area: 79%
[12:16:10] [Worker-Main-8/INFO]: Preparing spawn area: 79%
[12:16:10] [Worker-Main-8/INFO]: Preparing spawn area: 79%
[12:16:10] [Worker-Main-8/INFO]: Preparing spawn area: 84%
[12:16:11] [Worker-Main-8/INFO]: Preparing spawn area: 88%
[12:16:11] [Worker-Main-8/INFO]: Preparing spawn area: 90%
[12:16:12] [Worker-Main-8/INFO]: Preparing spawn area: 91%
[12:16:12] [Worker-Main-8/INFO]: Preparing spawn area: 91%
[12:16:13] [Worker-Main-8/INFO]: Preparing spawn area: 92%
[12:16:13] [Worker-Main-8/INFO]: Preparing spawn area: 93%
[12:16:14] [Worker-Main-8/INFO]: Preparing spawn area: 93%
[12:16:14] [Worker-Main-8/INFO]: Preparing spawn area: 96%
[12:16:15] [Worker-Main-8/INFO]: Preparing spawn area: 97%
[12:16:15] [Worker-Main-8/INFO]: Preparing spawn area: 98%
[12:16:16] [Server thread/INFO]: Time elapsed: 58846 ms
[12:16:16] [Server thread/INFO]: Done (70.575s)! For help, type "help"
[12:16:19] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 2087ms or 41 ticks behind
